Model,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,AUC,MCC
Logistic Regression,0.9691283292978208,0.9585928619571151,0.8267618751940391,0.9446612273855978,0.8817880794701987,0.9956882204002787,0.8666641325338874
Random Forest,0.965496368038741,0.8746517597897863,0.9525302283922974,0.7545228804540617,0.8420427553444181,0.9941733928436028,0.8300113496535476
Gradient Boosting,0.986553095814597,0.9869971078794316,0.9098039215686274,0.9875842497339482,0.9470998469127403,0.9992638652995679,0.9404493834510408
